	Тип библиотеки	Электронный каталог	Изба-читальня	Дата открытия	Размер фонда	Уверенность в фонде
1796	универсальная	opac.nekrasovka.ru/vmk/	0	1934		
1797	универсальная	opac.nekrasovka.ru/vmk/	0	1934		
1798	универсальная	opac.nekrasovka.ru/vmk/	0	1934		
1799			0		8000	1
1800				январе 1946		
1801				1 октября 1951		
1802	универсальная	sao.biblio.informsystema.ru/Marc.html?locale=ru				
1803	универсальная	opac.nekrasovka.ru/vmk/				
1804	универсальная	opac.nekrasovka.ru/vmk/			50000	1
1805	детская	gaidarovka.ru/component/option,com_irbis/Itemid,1572/				
1806				28 сентября 1962		
1807					83962	1
1808				16 сентября 1965	55198	1
1809	универсальная	opac.nekrasovka.ru/vmk/		1986		
1810	универсальная	opac.nekrasovka.ru/vmk/		декабре 1970		
1811				2011		
1812						
1813				1951	52000	1
1814						
1815						
1816						
1817						
1818						
1819						
1820						
1821						
1822					4000000	1
1823						
1824						
1825						
1826						
1827						
1828						
1829						
1830						
1831						
1832						
1833						
1834						
1835						
1836						
1837						
1838						
1839						
1840						
1841						
1842						
1843						
1844						
1845						
1846						
1847						
1848						
1849						
1850						
1851						
1852						
1853						
1854						
1855				1938		
1856	универсальная	opac.nekrasovka.ru/vmk/				
1857	универсальная	opac.nekrasovka.ru/vmk/				
1858	универсальная	opac.nekrasovka.ru/vmk/		1965		
1859	универсальная	opac.nekrasovka.ru/vmk/				
1860	универсальная	opac.nekrasovka.ru/vmk/		1962		
1861	универсальная	opac.nekrasovka.ru/vmk/		1949		
1862	универсальная	opac.nekrasovka.ru/vmk/		1950		
1863	универсальная	opac.nekrasovka.ru/vmk/		1936		
1864	универсальная	opac.nekrasovka.ru/vmk/				
1865	универсальная	opac.nekrasovka.ru/vmk/				
1866	универсальная	opac.nekrasovka.ru/vmk/		1970		
1867	универсальная	opac.nekrasovka.ru/vmk/				
1868	универсальная	opac.nekrasovka.ru/vmk/				
1869	универсальная	opac.nekrasovka.ru/vmk/		1971		
1870	универсальная	opac.nekrasovka.ru/vmk/		1972		
1871	универсальная	opac.nekrasovka.ru/vmk/		1967		
1872	универсальная	opac.nekrasovka.ru/vmk/		1943	3700	1
1873	универсальная	opac.nekrasovka.ru/vmk/		2002		
1874	универсальная	opac.nekrasovka.ru/vmk/				
1875	универсальная	opac.nekrasovka.ru/vmk/				
1876						
1877						
1878						
1879						
1880						
1881	универсальная	opac.nekrasovka.ru/vmk/			104000	1
1882	универсальная	opac.nekrasovka.ru/vmk/		1918		
1883	универсальная	opac.nekrasovka.ru/vmk/	0			
1884	универсальная	opac.nekrasovka.ru/vmk/		1 августа 1938	30000	1
1885	универсальная	opac.nekrasovka.ru/vmk/		1930		
1886	универсальная	opac.nekrasovka.ru/vmk/				
1887	универсальная	opac.nekrasovka.ru/vmk/		1950		
1888	универсальная	opac.nekrasovka.ru/vmk/		1948		
1889	универсальная	opac.nekrasovka.ru/vmk/		2014	92000	1
1890	универсальная	opac.nekrasovka.ru/vmk/		1962	36678	1
1891	универсальная	opac.nekrasovka.ru/vmk/		1951	50000	1
1892	универсальная	opac.nekrasovka.ru/vmk/		1950		
1893	универсальная	opac.nekrasovka.ru/vmk/		1931		
1894	универсальная	opac.nekrasovka.ru/vmk/				
1895	универсальная	opac.nekrasovka.ru/vmk/			40000	0
1896	универсальная	opac.nekrasovka.ru/vmk/		1947		
1897	универсальная	opac.nekrasovka.ru/vmk/			16000	1
1898	универсальная	opac.nekrasovka.ru/vmk/		декабре 1941		
1899	универсальная	opac.nekrasovka.ru/vmk/		1951	41000	1
1900	универсальная	opac.nekrasovka.ru/vmk/	0			
1901	универсальная	opac.nekrasovka.ru/vmk/			50000	1
1902	универсальная	opac.nekrasovka.ru/vmk/		сентябре 1965		
1903	универсальная	opac.nekrasovka.ru/vmk/		1959		
